ProbeID,kME
isogroupDN31931_c0_g1,1
isogroupDN31942_c0_g1,0
isogroupDN32650_c0_g2,0
isogroupDN32672_c0_g1,0
isogroupDN32672_c0_g2,0
isogroupDN32677_c0_g1,1
isogroupDN33165_c0_g1,0
isogroupDN33239_c0_g2,0
isogroupDN33370_c0_g1,0
isogroupDN33638_c0_g1,0
isogroupDN33647_c0_g1,0
isogroupDN33698_c0_g1,0
isogroupDN33708_c0_g1,0
isogroupDN33708_c0_g2,0
isogroupDN33796_c0_g1,0
isogroupDN33871_c0_g1,0
isogroupDN33996_c0_g1,0
isogroupDN33996_c0_g2,0
isogroupDN34182_c0_g1,0
isogroupDN34319_c0_g1,0
isogroupDN34634_c0_g1,0
isogroupDN34634_c0_g2,0
isogroupDN34690_c0_g1,0
isogroupDN34724_c1_g1,0
isogroupDN34886_c0_g1,0
isogroupDN34917_c0_g1,0
isogroupDN35029_c0_g1,0
isogroupDN35096_c0_g1,0
isogroupDN35370_c0_g1,1
isogroupDN35556_c0_g1,0
isogroupDN35645_c0_g1,1
isogroupDN35647_c0_g1,0
isogroupDN35740_c0_g1,0
isogroupDN35903_c1_g1,0
isogroupDN35984_c0_g1,0
isogroupDN35984_c0_g2,0
isogroupDN35984_c0_g3,0
isogroupDN35984_c0_g4,0
isogroupDN35984_c0_g5,0
isogroupDN36198_c0_g1,0
isogroupDN36295_c0_g1,0
isogroupDN36348_c0_g1,0
isogroupDN36378_c0_g1,0
isogroupDN36428_c0_g1,0
isogroupDN36476_c1_g1,0
isogroupDN36524_c0_g1,0
isogroupDN36608_c0_g1,0
isogroupDN36611_c0_g1,0
isogroupDN36634_c0_g1,0
isogroupDN36642_c0_g1,0
isogroupDN36714_c0_g1,0
isogroupDN36824_c0_g1,0
isogroupDN36826_c1_g1,1
isogroupDN36828_c0_g1,0
isogroupDN36912_c0_g1,0
isogroupDN36912_c0_g2,0
isogroupDN36941_c0_g1,0
isogroupDN37049_c0_g1,0
isogroupDN37081_c0_g1,0
isogroupDN37187_c0_g1,0
isogroupDN37232_c0_g1,0
isogroupDN37283_c0_g1,0
isogroupDN37304_c0_g1,0
isogroupDN37336_c0_g1,0
isogroupDN37380_c0_g1,0
isogroupDN37486_c0_g1,0
isogroupDN37507_c0_g1,0
isogroupDN37517_c1_g1,0
isogroupDN37652_c0_g1,0
isogroupDN37790_c0_g1,0
isogroupDN38014_c0_g1,0
isogroupDN38076_c0_g1,0
isogroupDN38101_c1_g1,0
isogroupDN38106_c0_g1,0
isogroupDN38138_c0_g1,0
isogroupDN38259_c0_g1,0
isogroupDN3829_c0_g1,0
isogroupDN3831_c0_g1,0
isogroupDN38322_c0_g1,0
isogroupDN38395_c0_g1,0
isogroupDN38396_c0_g1,0
isogroupDN38399_c0_g1,0
isogroupDN38447_c0_g1,0
isogroupDN38549_c0_g1,0
isogroupDN38626_c0_g1,0
isogroupDN38672_c0_g1,0
isogroupDN38699_c0_g1,0
isogroupDN38723_c0_g1,0
isogroupDN3873_c0_g1,0
isogroupDN3885_c0_g1,0
isogroupDN3889_c0_g1,1
isogroupDN38903_c0_g1,0
isogroupDN38905_c0_g1,0
isogroupDN38932_c0_g1,0
isogroupDN38998_c0_g1,0
isogroupDN39043_c0_g1,0
isogroupDN39052_c0_g1,1
isogroupDN39057_c0_g1,0
isogroupDN39059_c0_g1,0
isogroupDN39104_c0_g1,0
isogroupDN39104_c0_g2,0
isogroupDN39105_c0_g1,0
isogroupDN39126_c1_g1,0
isogroupDN39141_c0_g1,0
isogroupDN39178_c0_g2,1
isogroupDN39192_c0_g1,0
isogroupDN39272_c0_g1,0
isogroupDN39274_c0_g1,0
isogroupDN39293_c0_g1,0
isogroupDN39323_c0_g1,0
isogroupDN39351_c0_g1,0
isogroupDN39384_c0_g1,0
isogroupDN3944_c0_g1,0
isogroupDN39492_c0_g1,0
isogroupDN39503_c1_g1,0
