SRR,bam_name,sample,genotype,replicate
SRR10600268,bt2_SRR10600268.new.sam.bam,G1r22,1,22
SRR10600269,bt2_SRR10600269.new.sam.bam,G1r21,1,21
SRR10600270,bt2_SRR10600270.new.sam.bam,G1r20,1,20
SRR10600271,bt2_SRR10600271.new.sam.bam,G13r14,13,14
SRR10600272,bt2_SRR10600272.new.sam.bam,G1r1,1,1
SRR10600273,bt2_SRR10600273.new.sam.bam,G1r19,1,19
SRR10600274,bt2_SRR10600274.new.sam.bam,G1r18,1,18
SRR10600275,bt2_SRR10600275.new.sam.bam,G1r17,1,17
SRR10600276,bt2_SRR10600276.new.sam.bam,G1r16,1,16
SRR10600277,bt2_SRR10600277.new.sam.bam,G1r14,1,14
SRR10600278,bt2_SRR10600278.new.sam.bam,G1r13,1,13
SRR10600279,bt2_SRR10600279.new.sam.bam,G1r12,1,12
SRR10600280,bt2_SRR10600280.new.sam.bam,G1r11,1,11
SRR10600281,bt2_SRR10600281.new.sam.bam,G1r10,1,10
SRR10600282,bt2_SRR10600282.new.sam.bam,G13r13,13,13
SRR10600283,bt2_SRR10600283.new.sam.bam,G13r9,13,9
SRR10600284,bt2_SRR10600284.new.sam.bam,G13r8,13,8
SRR10600285,bt2_SRR10600285.new.sam.bam,G34r20,34,20
SRR10600286,bt2_SRR10600286.new.sam.bam,G13r1,13,1
SRR10600287,bt2_SRR10600287.new.sam.bam,G13r11,13,11
SRR10600288,bt2_SRR10600288.new.sam.bam,G13r10,13,10
,,,,
,,,,
,,,,
