"","Observed","Chao1","se.chao1","Shannon","Simpson","Fisher"
"G44r29",908,1260.27777777778,48.0281352435409,5.96006863254663,0.995095449114364,346.211005662826
"G44r3",374,391.222222222222,8.20700472632551,5.48270610403719,0.994454968580034,93.6672394894622
"G44r4",389,407.139534883721,7.7048804075622,5.36769941674204,0.993057793245983,98.6973364454259
"G44r5",212,222.5,10.572595484596,5.11768476339803,0.99265947872914,44.8064302837562
"G44r7",776,939.090909090909,29.6150525272444,6.01488753864797,0.995966742146598,263.860972325021
"G50r16",1079,1269.38888888889,28.8302213683037,6.46383034571401,0.997227344587211,443.725054615635
"G50r18",231,231.125,0.443774630778804,5.17053721076858,0.993136129947023,49.9937635811556
"G50r21",159,159,0,4.91041472306498,0.991534104168,31.2731035225754
"G50r22",568,607.5,11.7371561870325,5.84408147850989,0.995873979474513,166.134510656638
"G50r24",542,587,12.5900553565039,5.68433301073668,0.995047761632528,155.941100705247
"G50r27",832,915,17.073516170447,6.23735187642323,0.997076426737534,291.533476761477
"G50r4",601,674.405172413793,16.8893608552551,5.63711113124351,0.993985658240716,179.374648431346
"G50r6",972,1319.5756097561,47.07228747588,6.15764133881588,0.996256084979091,380.012924062328
"G62r1",476,504.548387096774,9.8355870339692,5.75230035385179,0.996001648757589,129.769195966771
"G62r19",913,1099.0462962963,28.8926132461191,6.08943224404447,0.996154693623075,334.737216809503
"G62r2",626,718.014285714286,22.6040133676105,5.98514584455173,0.996379500506458,193.264165856014
"G62r20",930,1266.90178571429,44.849506914899,5.87747611445244,0.994701154495919,344.208840964156
"G62r21",1145,1487.34657039711,42.9143175430595,6.37511761198683,0.996992851907678,489.007545040763
"G62r23",951,1065.296875,20.784792737158,6.38117866384329,0.997399902710026,360.131841913278
"G62r26",1001,1256.20481927711,35.320104379527,6.21640223645147,0.996577973109567,398.573191343163
"G62r27",388,405.642857142857,7.59252958623565,5.54759688270985,0.995047101936184,98.093919578332
"G62r3",883,963.620689655172,16.5360929701217,6.3361261798249,0.997323844631862,320.02748056901
"G62r4",904,1291.80660377358,50.7861648694908,5.89848727498424,0.99470866074867,354.49704991241
"G7r22",570,611,11.9586953678584,5.82344020695748,0.995731022646495,167.221004619944
"G7r25",742,826.358974358974,18.6545052701268,6.11727821209848,0.996681087635613,248.747232644385
"G7r27",944,1068.41346153846,21.7077229770391,6.23402054254047,0.99640981301213,357.209805696532
"G7r3",241,247.428571428571,5.46777443267768,5.2137550852804,0.993584189403074,52.8356975571107
"G7r6",740,823.393939393939,19.2422081711461,6.14502372826819,0.996907120639993,245.269786801825
"G7r7",304,307.714285714286,2.9908512479998,5.40154434733196,0.994586929242231,71.3431690080688
"G7r8",310,314.588235294118,3.57504307074967,5.40566210259477,0.994364832576141,73.1509720136273
